name,adname,type,rating,cost,性价比,cluster,餐厅类型
成渝老妈川菜(双菱路店),上城区,餐饮服务;中餐厅;四川菜(川菜),4.6,70,1.0791333463194086,1,大众品质型
风炉故事·遂昌山野土菜(凯旋路店),上城区,餐饮服务;中餐厅;中餐厅,4.7,90,1.0419300342229454,1,大众品质型
李白图书馆餐厅(秋涛北路店),上城区,餐饮服务;中餐厅;浙江菜,4.7,125,0.9718209340204937,1,大众品质型
重庆小天鹅麻辣烫(凤起路店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,41,1.2574680161695537,1,大众品质型
肯德基(新塘世纪联华店),上城区,餐饮服务;快餐厅;肯德基,4.5,34,1.2656988632822777,0,平价高性价比型
四灶儿·地道杭帮菜(望江店),上城区,餐饮服务;中餐厅;中餐厅,4.7,87,1.0497311671531557,1,大众品质型
胡须有你花园·江景餐厅(滨江奥体店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,155,0.9307196073022109,1,大众品质型
观雲宴,萧山区,餐饮服务;中餐厅;中餐厅,4.7,298,0.8244972412215964,2,高消费高品质型
正大酒家(杭州上城区),上城区,餐饮服务;中餐厅;中餐厅,4.6,65,1.0979424996187397,1,大众品质型
麦当劳(映霞璟庭店),上城区,餐饮服务;快餐厅;麦当劳,4.5,31,1.298425536800067,0,平价高性价比型
鹤之乡·齐齐哈尔烤肉(秋涛路店),上城区,餐饮服务;中餐厅;中餐厅,4.6,91,1.017296567855457,1,大众品质型
菲乐餐厅(望江城投店),上城区,餐饮服务;中餐厅;中餐厅,4.7,128,0.9671155198875083,1,大众品质型
台舟半岛·台州菜·小海鲜(奥体店),萧山区,餐饮服务;中餐厅;海鲜酒楼,4.6,140,0.9295258007857161,1,大众品质型
张功馆·地道桐庐菜(钱潮店),上城区,餐饮服务;中餐厅;中餐厅,4.7,82,1.063627412065356,1,大众品质型
旷野听风不想上班(奥体店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,82,1.063627412065356,1,大众品质型
陈先进鱼馆(凤起店),上城区,餐饮服务;中餐厅;中餐厅,4.7,86,1.052417531916429,1,大众品质型
麦当劳(杭州城投大厦店),上城区,餐饮服务;快餐厅;麦当劳,4.5,32,1.2869985037620346,0,平价高性价比型
带你去趟佳木斯·非遗烧烤(杭州首店),萧山区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,81,1.0665530832076082,1,大众品质型
BM南法餐厅(杭罐1958店),上城区,餐饮服务;外国餐厅;外国餐厅,4.6,121,0.9575311925502639,1,大众品质型
六丁火烤肉(杭州首店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,92,1.0369325609067406,1,大众品质型
碳二鹤岗小串(景芳店),上城区,餐饮服务;中餐厅;中餐厅,4.7,75,1.0852665427997132,1,大众品质型
外婆家(杭州望江店),上城区,餐饮服务;中餐厅;浙江菜,4.6,51,1.1641903986756574,1,大众品质型
爱人再见小酒馆(奥体店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,95,1.0297198642263399,1,大众品质型
张大厨老坛柠檬鱼,上城区,餐饮服务;中餐厅;中餐厅,4.6,79,1.0497425925258759,1,大众品质型
炉上牛肉档·牛肉粿条·牛腩饭·火锅(萧山嘉润公馆店),萧山区,餐饮服务;中餐厅;火锅店,4.6,47,1.1882617273137122,1,大众品质型
西北羊肉馆羊蝎子火锅烧烤(万邦大楼店),上城区,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;西北菜,4.7,74,1.0885959327286687,1,大众品质型
名家海鲜火锅·活蟹生香(钱潮店)(暂停营业),上城区,餐饮服务;中餐厅;火锅店,4.7,255,0.847583336522266,1,大众品质型
你又瘦了小酒馆(奥体店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.7,105,1.0078399020873017,1,大众品质型
办肆小馆徐州烧烤炒菜(莲荷里店),滨江区,餐饮服务;中餐厅;中餐厅,4.5,76,1.0359580052459305,1,大众品质型
元气考拉·湖南小炒,萧山区,餐饮服务;中餐厅;湖南菜(湘菜),4.6,49,1.1758622057225245,1,大众品质型
一峤·Singapore浓汤蝦面,萧山区,餐饮服务;中餐厅;中餐厅,4.6,84,1.0354177571961811,1,大众品质型
黑柴山烤房,滨江区,餐饮服务;中餐厅;中餐厅,4.5,148,0.8992902251275772,1,大众品质型
盐蘸牛肉,上城区,餐饮服务;中餐厅;中餐厅,4.7,49,1.201424427586058,1,大众品质型
滋味渊·匠心桐庐菜(景芳店),上城区,餐饮服务;中餐厅;浙江菜,4.7,91,1.0394117106349237,1,大众品质型
堂前屋后·开化山里菜(凯旋店),上城区,餐饮服务;中餐厅;中餐厅,4.6,81,1.043860464415957,1,大众品质型
风炉故事·遂昌山野土菜(杭州首店),上城区,餐饮服务;中餐厅;中餐厅,4.7,90,1.0419300342229454,1,大众品质型
今尚饮私房创意菜,萧山区,餐饮服务;中餐厅;中餐厅,4.7,186,0.8984711165921199,1,大众品质型
海农日记餐厅(奥体店),萧山区,餐饮服务;中餐厅;浙江菜,4.6,117,0.9642221949465413,1,大众品质型
杭州宴·杭州菜(火车东站店),上城区,餐饮服务;中餐厅;中餐厅,4.7,91,1.0394117106349237,1,大众品质型
宝中宝食府,上城区,餐饮服务;中餐厅;综合酒楼,4.7,127,0.9686666703111613,1,大众品质型
德明饭店(钱江世纪城店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,152,0.9343122951607821,1,大众品质型
